Source,Target,Weight,logWeight,Syn,SGN,WxSGN,logWxSGN
ADFR,PVPR,1,1,chemical,1,1,1
ADFR,SMBDR,2,1.69314718055995,chemical,1,3,2.09861228866811
ADFR,SMBVR,19,3.94443897916644,chemical,1,5,2.6094379124341
ADLL,ASEL,1,1,chemical,1,6,2.79175946922805
ADLL,ASER,12,3.484906649788,chemical,1,1,1
ADLL,ASGL,2,1.69314718055995,chemical,1,1,1
ADLL,ASHL,6,2.79175946922805,chemical,1,4,2.38629436111989
ADLL,AWAL,1,1,chemical,1,1,1
ADLL,AWBL,3,2.09861228866811,chemical,1,5,2.6094379124341
ADLL,AWCL,2,1.69314718055995,chemical,1,1,1
ADLL,OLQVL,2,1.69314718055995,chemical,1,2,1.69314718055995
ADLL,AIAL,19,3.94443897916644,chemical,1,1,1
ADLL,AIBL,26,4.25809653802148,chemical,1,18,3.89037175789616
ADLL,ADAL,1,1,chemical,1,15,3.70805020110221
ADLL,ALA,5,2.6094379124341,chemical,1,3,2.09861228866811
ADLL,RIAL,1,1,chemical,1,7,2.94591014905531
ADLL,RIGL,1,1,chemical,1,2,1.69314718055995
ADLL,RIR,1,1,chemical,1,2,1.69314718055995
ADLL,RIPL,3,2.09861228866811,chemical,1,1,1
ADLL,AVJL,3,2.09861228866811,chemical,1,7,2.94591014905531
ADLL,AVJR,9,3.19722457733622,chemical,1,9,3.19722457733622
ADLL,AVAL,9,3.19722457733622,chemical,1,2,1.69314718055995
ADLL,AVAR,5,2.6094379124341,chemical,1,3,2.09861228866811
ADLL,AVBL,12,3.484906649788,chemical,1,11,3.39789527279837
ADLL,AVDL,4,2.38629436111989,chemical,1,1,1
ADLL,AVDR,15,3.70805020110221,chemical,1,1,1
ADLL,SMBVL,5,2.6094379124341,chemical,1,2,1.69314718055995
ADLR,ADLR,3,2.09861228866811,chemical,1,2,1.69314718055995
ADLR,ASER,2,1.69314718055995,chemical,1,2,1.69314718055995
ADLR,ASHR,4,2.38629436111989,chemical,1,1,1
ADLR,AWCR,7,2.94591014905531,chemical,1,2,1.69314718055995
ADLR,OLQVR,1,1,chemical,1,2,1.69314718055995
ADLR,OLLR,1,1,chemical,1,1,1
ADLR,CEPVR,1,1,chemical,1,2,1.69314718055995
ADLR,URXR,8,3.07944154167984,chemical,1,2,1.69314718055995
ADLR,AIAR,22,4.09104245335832,chemical,1,1,1
ADLR,AIBR,27,4.29583686600433,chemical,1,1,1
ADLR,ADAR,1,1,chemical,1,1,1
ADLR,RICL,1,1,chemical,1,3,2.09861228866811
ADLR,RICR,5,2.6094379124341,chemical,1,5,2.6094379124341
ADLR,RIFR,2,1.69314718055995,chemical,1,1,1
ADLR,URBR,6,2.79175946922805,chemical,1,1,1
ADLR,RIPR,2,1.69314718055995,chemical,1,1,1
ADLR,AVJL,2,1.69314718055995,chemical,1,4,2.38629436111989
ADLR,AVJR,3,2.09861228866811,chemical,1,2,1.69314718055995
ADLR,PVCL,3,2.09861228866811,chemical,1,3,2.09861228866811
ADLR,AVAR,8,3.07944154167984,chemical,1,1,1
ADLR,AVBL,3,2.09861228866811,chemical,1,1,1
ADLR,AVBR,7,2.94591014905531,chemical,1,12,3.484906649788
ADLR,AVDL,26,4.25809653802148,chemical,1,11,3.39789527279837
ADLR,AVDR,3,2.09861228866811,chemical,1,5,2.6094379124341
ADLR,SIBVL,2,1.69314718055995,chemical,1,1,1
