RI,c,hpV,rrp2rest,rrp2spike,surviveBinary
0.1,0.82,-80.0,33.0,0.0,0.0
0.1,0.82,-80.0,40.0,0.0,0.0
0.1,0.82,-80.0,873.0,0.0,1.0
0.1,0.82,-80.0,42.0,0.0,0.0
0.1,0.82,-80.0,164.0,0.0,1.0
0.1,0.82,-80.0,33.0,0.0,0.0
0.1,0.82,-80.0,155.0,0.0,1.0
0.1,0.82,-80.0,714.0,0.0,1.0
0.1,0.82,-80.0,34.0,0.0,0.0
0.1,0.82,-80.0,31.0,0.0,0.0
0.1,0.82,-80.0,55.0,6.0,0.0
0.1,0.82,-80.0,33.0,0.0,0.0
0.1,0.82,-80.0,27.0,0.0,0.0
0.1,0.82,-80.0,40.0,0.0,0.0
0.1,0.82,-80.0,38.0,0.0,0.0
0.1,0.82,-80.0,59.0,0.0,0.0
0.1,0.82,-80.0,28.0,0.0,0.0
0.1,0.82,-80.0,45.0,0.0,0.0
0.1,0.82,-80.0,48.0,0.0,0.0
0.1,0.84,-80.0,23.0,0.0,0.0
0.1,0.84,-80.0,24.0,0.0,0.0
0.1,0.84,-80.0,30.0,0.0,0.0
0.1,0.84,-80.0,34.0,0.0,0.0
0.1,0.84,-80.0,32.0,0.0,0.0
0.1,0.84,-80.0,37.0,0.0,0.0
0.1,0.84,-80.0,35.0,0.0,0.0
0.1,0.84,-80.0,30.0,0.0,0.0
0.1,0.84,-80.0,46.0,0.0,0.0
0.1,0.84,-80.0,712.0,1.0,1.0
0.1,0.84,-80.0,27.0,0.0,0.0
0.1,0.84,-80.0,45.0,0.0,0.0
0.1,0.84,-80.0,36.0,0.0,0.0
0.1,0.84,-80.0,38.0,0.0,0.0
0.1,0.84,-80.0,42.0,0.0,0.0
0.1,0.84,-80.0,42.0,0.0,0.0
0.1,0.84,-80.0,28.0,0.0,0.0
0.1,0.84,-80.0,26.0,0.0,0.0
0.1,0.84,-80.0,38.0,0.0,0.0
0.1,0.84,-80.0,45.0,0.0,0.0
0.1,0.86,-80.0,29.0,0.0,0.0
0.1,0.86,-80.0,152.0,0.0,1.0
0.1,0.86,-80.0,49.0,0.0,0.0
0.1,0.86,-80.0,70.0,0.0,0.0
0.1,0.86,-80.0,26.0,0.0,0.0
0.1,0.86,-80.0,707.0,2.0,1.0
0.1,0.86,-80.0,52.0,0.0,0.0
0.1,0.86,-80.0,46.0,0.0,0.0
0.1,0.86,-80.0,37.0,0.0,0.0
0.1,0.86,-80.0,32.0,0.0,0.0
0.1,0.86,-80.0,35.0,0.0,0.0
0.1,0.86,-80.0,30.0,0.0,0.0
0.1,0.86,-80.0,33.0,0.0,0.0
0.1,0.86,-80.0,29.0,0.0,0.0
0.1,0.86,-80.0,37.0,0.0,0.0
0.1,0.86,-80.0,169.0,0.0,1.0
0.1,0.86,-80.0,24.0,0.0,0.0
0.1,0.86,-80.0,708.0,1.0,1.0
0.1,0.86,-80.0,40.0,0.0,0.0
0.1,0.86,-80.0,38.0,0.0,0.0
0.1,0.88,-80.0,35.0,0.0,0.0
0.1,0.88,-80.0,46.0,0.0,0.0
0.1,0.88,-80.0,34.0,0.0,0.0
0.1,0.88,-80.0,897.0,0.0,1.0
0.1,0.88,-80.0,884.0,1.0,1.0
0.1,0.88,-80.0,722.0,6.0,1.0
0.1,0.88,-80.0,43.0,0.0,0.0
0.1,0.88,-80.0,697.0,1.0,1.0
0.1,0.88,-80.0,29.0,0.0,0.0
0.1,0.88,-80.0,773.0,8.0,1.0
0.1,0.88,-80.0,71.0,3.0,0.0
0.1,0.88,-80.0,41.0,0.0,0.0
0.1,0.88,-80.0,48.0,0.0,0.0
0.1,0.88,-80.0,162.0,0.0,1.0
0.1,0.88,-80.0,32.0,0.0,0.0
0.1,0.88,-80.0,58.0,0.0,0.0
0.1,0.88,-80.0,30.0,0.0,0.0
0.1,0.88,-80.0,44.0,0.0,0.0
0.1,0.88,-80.0,48.0,0.0,0.0
0.1,0.88,-80.0,36.0,0.0,0.0
0.1,0.9,-80.0,29.0,0.0,0.0
0.1,0.9,-80.0,28.0,0.0,0.0
0.1,0.9,-80.0,36.0,0.0,0.0
0.1,0.9,-80.0,901.0,4.0,1.0
0.1,0.9,-80.0,43.0,0.0,0.0
0.1,0.9,-80.0,165.0,0.0,1.0
0.1,0.9,-80.0,41.0,0.0,0.0
0.1,0.9,-80.0,35.0,0.0,0.0
0.1,0.9,-80.0,877.0,7.0,1.0
0.1,0.9,-80.0,865.0,0.0,1.0
0.1,0.9,-80.0,68.0,3.0,0.0
0.1,0.9,-80.0,83.0,3.0,0.0
0.1,0.9,-80.0,54.0,0.0,0.0
0.1,0.9,-80.0,41.0,0.0,0.0
0.1,0.9,-80.0,39.0,0.0,0.0
0.1,0.9,-80.0,39.0,0.0,0.0
0.1,0.9,-80.0,41.0,0.0,0.0
0.1,0.9,-80.0,777.0,4.0,1.0
0.1,0.9,-80.0,85.0,4.0,0.0
0.1,0.9,-80.0,39.0,0.0,0.0
0.1,0.92,-80.0,174.0,0.0,1.0
0.1,0.92,-80.0,70.0,0.0,0.0
0.1,0.92,-80.0,906.0,2.0,1.0
0.1,0.92,-80.0,32.0,0.0,0.0
0.1,0.92,-80.0,923.0,2.0,1.0
0.1,0.92,-80.0,34.0,0.0,0.0
0.1,0.92,-80.0,41.0,0.0,0.0
0.1,0.92,-80.0,43.0,0.0,0.0
0.1,0.92,-80.0,35.0,0.0,0.0
0.1,0.92,-80.0,50.0,0.0,0.0
0.1,0.92,-80.0,41.0,0.0,0.0
0.1,0.92,-80.0,168.0,0.0,1.0
0.1,0.92,-80.0,75.0,0.0,0.0
0.1,0.92,-80.0,931.0,0.0,1.0
0.1,0.92,-80.0,166.0,0.0,1.0
0.1,0.92,-80.0,32.0,0.0,0.0
0.1,0.92,-80.0,32.0,0.0,0.0
0.1,0.92,-80.0,39.0,0.0,0.0
0.1,0.92,-80.0,781.0,0.0,1.0
0.1,0.92,-80.0,32.0,0.0,0.0
0.1,0.94,-80.0,26.0,0.0,0.0
0.1,0.94,-80.0,31.0,0.0,0.0
0.1,0.94,-80.0,28.0,0.0,0.0
0.1,0.94,-80.0,57.0,0.0,0.0
0.1,0.94,-80.0,78.0,1.0,0.0
0.1,0.94,-80.0,36.0,0.0,0.0
0.1,0.94,-80.0,905.0,0.0,1.0
0.1,0.94,-80.0,40.0,0.0,0.0
0.1,0.94,-80.0,39.0,0.0,0.0
0.1,0.94,-80.0,33.0,0.0,0.0
0.1,0.94,-80.0,50.0,0.0,0.0
0.1,0.94,-80.0,28.0,0.0,0.0
0.1,0.94,-80.0,42.0,0.0,0.0
0.1,0.94,-80.0,40.0,0.0,0.0
0.1,0.94,-80.0,31.0,0.0,0.0
