RI,c,hpV,rrp2spikeRatio,surviveBinary
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-71.5,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
0.05,0.7,-72.0,0.0,0.0
