RI,c,hpV,rrp2rest,rrp2spike,surviveTime
0.05,0.05,-73.0,17.0,0.0,4.0
0.05,0.05,-73.0,20.0,0.0,4.0
0.05,0.05,-73.0,12.0,0.0,4.0
0.05,0.05,-73.0,19.0,0.0,4.0
0.05,0.05,-73.0,15.0,0.0,4.0
0.05,0.05,-73.0,10.0,0.0,4.0
0.05,0.05,-73.0,10.0,0.0,4.0
0.05,0.05,-73.0,13.0,0.0,4.0
0.05,0.05,-73.0,12.0,0.0,4.0
0.05,0.05,-73.0,18.0,0.0,4.0
0.05,0.05,-73.0,15.0,0.0,4.0
0.05,0.05,-73.0,10.0,0.0,4.0
0.05,0.05,-73.0,11.0,0.0,4.0
0.05,0.05,-73.0,13.0,0.0,4.0
0.05,0.05,-73.0,23.0,0.0,4.0
0.05,0.05,-73.0,15.0,0.0,4.0
0.05,0.05,-73.0,20.0,0.0,4.0
0.05,0.05,-73.0,10.0,0.0,4.0
0.05,0.05,-73.0,11.0,0.0,4.0
0.05,0.05,-73.0,13.0,0.0,4.0
0.05,0.05,-73.0,14.0,0.0,4.0
0.05,0.05,-73.5,20.0,0.0,4.0
0.05,0.05,-73.5,22.0,0.0,4.0
0.05,0.05,-73.5,16.0,0.0,4.0
0.05,0.05,-73.5,15.0,0.0,4.0
0.05,0.05,-73.5,18.0,0.0,4.0
0.05,0.05,-73.5,12.0,0.0,4.0
0.05,0.05,-73.5,12.0,0.0,4.0
0.05,0.05,-73.5,16.0,0.0,4.0
0.05,0.05,-73.5,17.0,0.0,4.0
0.05,0.05,-73.5,11.0,0.0,4.0
0.05,0.05,-73.5,14.0,0.0,4.0
0.05,0.05,-73.5,15.0,0.0,4.0
0.05,0.05,-73.5,20.0,0.0,4.0
0.05,0.05,-73.5,16.0,0.0,4.0
0.05,0.05,-73.5,13.0,0.0,4.0
0.05,0.05,-73.5,9.0,0.0,4.0
0.05,0.05,-73.5,16.0,0.0,4.0
0.05,0.05,-73.5,17.0,0.0,4.0
0.05,0.05,-73.5,20.0,0.0,4.0
0.05,0.05,-73.5,17.0,0.0,4.0
0.05,0.05,-73.5,15.0,0.0,4.0
0.05,0.05,-73.5,15.0,0.0,4.0
0.05,0.05,-73.5,15.0,0.0,4.0
0.05,0.05,-73.5,20.0,0.0,4.0
0.05,0.05,-73.5,10.0,0.0,4.0
0.05,0.05,-73.5,14.0,0.0,4.0
0.05,0.05,-73.5,12.0,0.0,4.0
0.05,0.05,-73.5,15.0,0.0,4.0
0.05,0.05,-73.5,15.0,0.0,4.0
0.05,0.05,-73.5,15.0,0.0,4.0
0.05,0.05,-73.5,13.0,0.0,4.0
0.05,0.05,-73.5,13.0,0.0,4.0
0.05,0.05,-73.5,14.0,0.0,4.0
0.05,0.05,-73.5,16.0,0.0,4.0
0.05,0.05,-73.5,13.0,0.0,4.0
0.05,0.05,-73.5,22.0,0.0,4.0
0.05,0.05,-73.5,17.0,0.0,4.0
0.05,0.05,-73.5,12.0,0.0,4.0
0.05,0.05,-73.5,18.0,0.0,4.0
0.05,0.05,-73.5,16.0,0.0,4.0
0.05,0.05,-73.5,14.0,0.0,4.0
0.05,0.05,-73.5,15.0,0.0,4.0
0.05,0.05,-73.5,18.0,0.0,4.0
0.05,0.05,-73.5,17.0,0.0,4.0
0.05,0.05,-73.5,14.0,0.0,4.0
0.05,0.05,-73.5,15.0,0.0,4.0
0.05,0.05,-73.5,11.0,0.0,4.0
0.05,0.05,-73.5,17.0,0.0,4.0
0.05,0.05,-73.5,16.0,0.0,4.0
0.05,0.05,-73.5,14.0,0.0,4.0
0.05,0.05,-73.5,10.0,0.0,4.0
0.05,0.05,-73.5,16.0,0.0,4.0
0.05,0.05,-73.5,13.0,0.0,4.0
0.05,0.05,-73.5,12.0,0.0,4.0
0.05,0.05,-73.5,15.0,0.0,4.0
