from,to,connPhi,connPsi1,connPsi2,connWeight,connWxGC
I1R,M1,195.456288953905,1,1,1.90211921522482,1.90211921522482
I1R,M2L,241.104919316571,1,1,1.94072110338288,1.94072110338288
M2R,I1L,-136.89238214398,-1,-1,-0.220350205992,-0.220350205992
M2R,I1R,-585.170911433484,-1,-1,-2.93472246249326,-2.93472246249326
M2R,M2R,-14933.379353409,-1,-1,-44.8008849905123,-44.8008849905123
M2R,M3L,325.998117970255,1,1,1.23876746868757,1.23876746868757
M2R,M3R,422.844756379262,1,1,2.87247326973746,2.87247326973746
M2R,M4,497.262255186028,1,1,0.749520145906905,0.749520145906905
M2R,M5,-160.490946518679,-1,-1,-17.0852112581408,-17.0852112581408
M2R,MCL,423.317831938526,1,1,4.34401582591454,4.34401582591454
M2R,MCR,4125.47443217389,1,1,1.88232714332822,1.88232714332822
M2R,MI,1967.68141044005,1,1,4.68950980115933,4.68950980115933
M2R,NSML,-449.742214313139,-1,-1,-0.167565973538499,-0.167565973538499
M2R,NSMR,-361.31142068036,-1,-1,-0.807805944133468,-0.807805944133468
M2R,I2L,-216.486019718086,-1,-1,-0.301449510621054,-0.301449510621054
M2R,I2R,209.567212884154,1,1,1.32253923868681,1.32253923868681
M2R,I3,-154.493358066295,-1,-1,-1.15414137907578,-1.15414137907578
M2R,I4,580.792880988114,1,1,0.523911894034348,0.523911894034348
M2R,I5,389.451382181716,1,1,0.0248362369970247,0.0248362369970247
M2R,I6,-56.5063826723781,-1,-1,-0.0756279922595899,-0.0756279922595899
M2R,M1,636.514546792612,1,1,2.19648855661999,2.19648855661999
M2R,M2L,-552.204650538295,-1,-1,-0.169235081994501,-0.169235081994501
M3L,I1L,1806.6409022568,1,1,5.25726238761434,5.25726238761434
M3L,I1R,-31.9167604026843,-1,-1,-2.81806715727047,-2.81806715727047
M3L,M2R,-23.5398476833216,-1,-1,-3.39502883722597,-3.39502883722597
M3L,M3L,-7220.94094707295,-1,-1,-46.3774748246836,-46.3774748246836
