from,to,connPhi,connPsi1,connPsi2,connWeight,connWxGC
I2L,M3R,58.6640600524206,1,1,0.610059316076457,0.610059316076457
I2L,M4,29.68912456306,1,1,6.01582847502098,6.01582847502098
I2L,M5,11.6002869953909,1,1,1.23348443365123,1.23348443365123
I2L,MCL,-0.214800393585392,-0,-0,-1.13811554165559,-0
I2L,MCR,22.9529245004105,1,1,0.938459690946675,0.938459690946675
I2L,MI,29.974492126697,1,1,0.119490427773032,0.119490427773032
I2L,NSML,35.554107699777,1,1,1.92396073280983,1.92396073280983
I2L,NSMR,-414.186215621782,-1,-1,-4.97209328476643,-4.97209328476643
I2L,I2L,-5977.61966662644,-1,-1,-103.846260370155,-103.846260370155
I2L,I2R,169.96656173241,1,1,5.51164320577459,5.51164320577459
I2L,I3,38.5580446188255,1,1,1.9620447490414,1.9620447490414
I2L,I4,29.8185862930354,1,1,14.9393185587164,14.9393185587164
I2L,I5,151.027682379633,1,1,1.34384707993807,1.34384707993807
I2L,I6,43.462620896406,1,1,0.79092606649947,0.79092606649947
I2L,M1,-237.597147212174,-1,-1,-1.43210703611726,-1.43210703611726
I2L,M2L,135.696334637152,1,1,5.97205668795603,5.97205668795603
I2R,I1L,9.36844434612794,0,0,2.73288266500365,0
I2R,I1R,260.833876922042,1,1,0.0811598638608081,0.0811598638608081
I2R,M2R,-167.49695149505,-1,-1,-0.772764984292089,-0.772764984292089
I2R,M3L,-33.1161427283823,-1,-1,-4.92338117859545,-4.92338117859545
I2R,M3R,-86.4472027746069,-1,-1,-3.27686882660436,-3.27686882660436
I2R,M4,-4.13721789836745,-0,-0,-2.48767391545652,-0
I2R,M5,-12.5974393013664,-1,-1,-0.138840422627415,-0.138840422627415
I2R,MCL,-1.46188119615363,0,0,0.482615972930827,0
I2R,MCR,-86.2789127303968,-1,-1,-3.96651261643496,-3.96651261643496
I2R,MI,38.141787823226,1,1,0.754194172900954,0.754194172900954
I2R,NSML,-22.7183637020489,-1,-1,-0.384799672754553,-0.384799672754553
I2R,NSMR,727.134724785987,1,1,6.1764181387941,6.1764181387941
I2R,I2L,195.373387075256,1,1,12.4001869307083,12.4001869307083
I2R,I2R,-6507.35695717612,-1,-1,-90.3766865209085,-90.3766865209085
I2R,I3,-41.7417357764853,-1,-1,-2.69785381402616,-2.69785381402616
I2R,I4,252.753502649948,1,1,4.53679088182352,4.53679088182352
I2R,I5,77.7004353123612,1,1,24.509776088597,24.509776088597
I2R,I6,85.2423051647957,1,1,5.74397766953426,5.74397766953426
I2R,M1,310.712319786153,1,1,10.6596500573308,10.6596500573308
I2R,M2L,-16.8861234369506,-1,-1,-2.50214687139608,-2.50214687139608
I3,I1L,367.226323118291,1,1,8.03703351215213,8.03703351215213
I3,I1R,85.1098891667179,1,1,2.95970279375692,2.95970279375692
I3,M2R,-20.6720396902801,-1,-1,-3.99615416490199,-3.99615416490199
I3,M3L,-13.1616396877725,-1,-1,-0.421085627630152,-0.421085627630152
I3,M3R,-7.05488446040363,-0,-0,-1.72713907019312,-0
I3,M4,-34.368971793333,-1,-1,-1.59469368840077,-1.59469368840077
I3,M5,15.1174044017362,1,1,0.341240270171027,0.341240270171027
I3,MCL,-15.0159549428772,-1,-1,-2.02805964881828,-2.02805964881828
I3,MCR,7.16082478554745,0,0,0.130822638018746,0
I3,MI,239.807221246601,1,1,6.89973495429381,6.89973495429381
I3,NSML,32.934226739013,1,1,4.51997535089991,4.51997535089991
I3,NSMR,25.673914500002,1,1,8.17528791746398,8.17528791746398
I3,I2L,103.23870351668,1,1,9.3923679177147,9.3923679177147
I3,I2R,69.1930457016256,1,1,6.07183263226732,6.07183263226732
I3,I3,-5836.89516957019,-1,-1,-82.508859883262,-82.508859883262
I3,I4,40.5065291750511,1,1,10.6906590931294,10.6906590931294
I3,I5,56.2677067857824,1,1,8.51354415526401,8.51354415526401
I3,I6,564.891317562942,1,1,11.1360802243466,11.1360802243466
I3,M1,815.496072495419,1,1,17.8232998620453,17.8232998620453
I3,M2L,1806.86079982409,1,1,7.00259607611954,7.00259607611954
I4,I1L,-23.3441085217241,-1,-1,-5.40969012530104,-5.40969012530104
I4,I1R,-66.0713006592641,-1,-1,-0.964485615132042,-0.964485615132042
I4,M2R,1159.78703539703,1,1,9.45014728169466,9.45014728169466
I4,M3L,-25.0374696825529,-1,-1,-2.17967359311326,-2.17967359311326
I4,M3R,-119.725648327616,-1,-1,-2.56461275286893,-2.56461275286893
I4,M4,-1060.27772255722,-1,-1,-5.7553990344018,-5.7553990344018
I4,M5,-58.7739548271138,-1,-1,-2.75987802813361,-2.75987802813361
I4,MCL,-2.5941291314175,-0,-0,-0.211530354878892,-0
I4,MCR,43.9361170368447,1,1,3.15894127520071,3.15894127520071
I4,MI,-151.678037500551,-1,-1,-2.03838806273256,-2.03838806273256
I4,NSML,236.340099343207,1,1,5.1183606089597,5.1183606089597
I4,NSMR,627.078904222944,1,1,2.74561272573744,2.74561272573744
I4,I2L,185.663254300483,1,1,11.9193750557361,11.9193750557361
I4,I2R,-209.467694093775,-1,-1,-2.20727776770533,-2.20727776770533
I4,I3,66.3729850348454,1,1,3.77084752363237,3.77084752363237
