Psens,RI,att,c,inATT,minNodeActivity,rrp2rest,sens,sensG,sensNode,sensSG,surviveTime
0.5,0.1,0.9,0.1,173.0,0.0,145.0,5.0,26.0,119.0,31.0,49.0
0.5,0.1,0.9,0.1,10.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.9,0.1,316.0,0.0,242.0,8.0,33.0,189.0,42.0,50.0
0.5,0.1,0.9,0.1,6.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.9,0.1,34.0,0.0,34.0,1.0,4.0,16.0,5.0,17.0
0.5,0.1,0.9,0.1,14.0,0.0,14.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.9,0.1,11.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.9,0.1,91.0,0.0,66.0,1.0,5.0,42.0,8.0,21.0
0.5,0.1,0.9,0.1,8.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.9,0.1,13.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.15,570.0,0.0,350.0,8.0,28.0,202.0,46.0,50.0
0.5,0.1,0.5,0.15,10.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.15,8.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.15,430.0,0.0,233.0,7.0,30.0,120.0,32.0,50.0
0.5,0.1,0.5,0.15,485.0,0.0,275.0,5.0,23.0,160.0,37.0,50.0
0.5,0.1,0.5,0.15,8.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.15,13.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.15,13.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.15,364.0,0.0,223.0,5.0,19.0,146.0,32.0,50.0
0.5,0.1,0.5,0.15,407.0,0.0,246.0,5.0,19.0,175.0,39.0,50.0
0.5,0.1,0.7,0.15,12.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.15,11.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.15,10.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.15,387.0,0.0,244.0,5.0,17.0,110.0,25.0,49.0
0.5,0.1,0.7,0.15,797.0,0.0,336.0,9.0,34.0,255.0,59.0,50.0
0.5,0.1,0.7,0.15,7.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.15,719.0,0.0,414.0,6.0,34.0,258.0,64.0,50.0
0.5,0.1,0.7,0.15,12.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.15,882.0,0.0,413.0,9.0,36.0,300.0,67.0,50.0
0.5,0.1,0.7,0.15,362.0,0.0,177.0,6.0,19.0,134.0,32.0,50.0
0.5,0.1,0.9,0.15,12.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.9,0.15,10.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.9,0.15,1208.0,0.0,298.0,9.0,36.0,289.0,64.0,50.0
0.5,0.1,0.9,0.15,11.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.9,0.15,290.0,0.0,171.0,5.0,22.0,136.0,30.0,50.0
0.5,0.1,0.9,0.15,942.0,0.0,333.0,8.0,36.0,278.0,62.0,50.0
0.5,0.1,0.9,0.15,562.0,0.0,260.0,7.0,26.0,165.0,37.0,50.0
0.5,0.1,0.9,0.15,736.0,0.0,262.0,8.0,38.0,212.0,51.0,50.0
0.5,0.1,0.9,0.15,7.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.9,0.15,7.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.2,1274.0,0.0,473.0,7.0,23.0,104.0,30.0,50.0
0.5,0.1,0.5,0.2,10.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.2,1104.0,0.0,519.0,5.0,23.0,182.0,41.0,50.0
0.5,0.1,0.5,0.2,1146.0,0.0,464.0,9.0,29.0,187.0,45.0,50.0
0.5,0.1,0.5,0.2,1371.0,0.0,562.0,9.0,32.0,292.0,57.0,50.0
0.5,0.1,0.5,0.2,955.0,0.0,418.0,6.0,29.0,157.0,40.0,50.0
0.5,0.1,0.5,0.2,8.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.5,0.2,1046.0,0.0,462.0,6.0,20.0,148.0,32.0,50.0
0.5,0.1,0.5,0.2,974.0,0.0,438.0,5.0,20.0,139.0,32.0,50.0
0.5,0.1,0.5,0.2,486.0,0.0,253.0,6.0,21.0,130.0,30.0,50.0
0.5,0.1,0.7,0.2,1039.0,0.0,315.0,6.0,21.0,128.0,36.0,50.0
0.5,0.1,0.7,0.2,1061.0,0.0,413.0,6.0,19.0,127.0,31.0,50.0
0.5,0.1,0.7,0.2,8.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.7,0.2,1295.0,0.0,439.0,8.0,35.0,225.0,57.0,50.0
0.5,0.1,0.7,0.2,912.0,0.0,357.0,3.0,11.0,103.0,22.0,50.0
0.5,0.1,0.7,0.2,1276.0,0.0,437.0,5.0,19.0,115.0,30.0,50.0
0.5,0.1,0.7,0.2,940.0,0.0,369.0,8.0,24.0,157.0,38.0,50.0
0.5,0.1,0.7,0.2,1281.0,0.0,382.0,6.0,28.0,206.0,43.0,50.0
0.5,0.1,0.7,0.2,1275.0,0.0,421.0,8.0,26.0,167.0,38.0,50.0
0.5,0.1,0.7,0.2,796.0,0.0,287.0,6.0,25.0,149.0,37.0,50.0
0.5,0.1,0.9,0.2,1799.0,0.0,194.0,4.0,16.0,120.0,27.0,50.0
0.5,0.1,0.9,0.2,1637.0,0.0,317.0,6.0,21.0,146.0,32.0,50.0
0.5,0.1,0.9,0.2,1289.0,0.0,175.0,7.0,32.0,226.0,53.0,50.0
0.5,0.1,0.9,0.2,10.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.9,0.2,1172.0,0.0,278.0,6.0,31.0,186.0,39.0,50.0
0.5,0.1,0.9,0.2,1180.0,0.0,253.0,6.0,26.0,213.0,47.0,50.0
0.5,0.1,0.9,0.2,1500.0,0.0,311.0,6.0,27.0,177.0,43.0,50.0
0.5,0.1,0.9,0.2,1609.0,0.0,266.0,9.0,39.0,239.0,53.0,50.0
0.5,0.1,0.9,0.2,1458.0,0.0,292.0,5.0,23.0,134.0,33.0,50.0
0.5,0.1,0.9,0.2,1580.0,0.0,300.0,6.0,22.0,170.0,41.0,50.0
0.5,0.1,0.5,0.25,1941.0,0.0,624.0,9.0,32.0,276.0,63.0,50.0
0.5,0.1,0.5,0.25,1555.0,0.0,571.0,5.0,19.0,81.0,24.0,50.0
0.5,0.1,0.5,0.25,1298.0,0.0,489.0,4.0,18.0,103.0,27.0,50.0
0.5,0.1,0.5,0.25,1784.0,0.0,657.0,4.0,19.0,141.0,33.0,50.0
0.5,0.1,0.5,0.25,1628.0,0.0,604.0,5.0,19.0,99.0,32.0,50.0
0.5,0.1,0.5,0.25,1775.0,0.0,648.0,5.0,22.0,150.0,38.0,50.0
0.5,0.1,0.5,0.25,8.0,0.0,8.0,0.0,0.0,0.0,0.0,13.0
0.5,0.1,0.5,0.25,1715.0,0.0,633.0,6.0,19.0,135.0,31.0,50.0
0.5,0.1,0.5,0.25,1359.0,0.0,453.0,5.0,23.0,217.0,43.0,50.0
0.5,0.1,0.5,0.25,1751.0,0.0,623.0,5.0,22.0,151.0,38.0,50.0
0.5,0.1,0.7,0.25,2053.0,0.0,427.0,7.0,29.0,214.0,50.0,50.0
0.5,0.1,0.7,0.25,1383.0,0.0,411.0,7.0,27.0,197.0,43.0,50.0
0.5,0.1,0.7,0.25,1589.0,0.0,416.0,4.0,17.0,89.0,23.0,50.0
0.5,0.1,0.7,0.25,1877.0,0.0,504.0,9.0,32.0,175.0,43.0,50.0
0.5,0.1,0.7,0.25,1792.0,0.0,472.0,8.0,40.0,208.0,48.0,50.0
0.5,0.1,0.7,0.25,1700.0,0.0,380.0,8.0,36.0,265.0,63.0,50.0
0.5,0.1,0.7,0.25,1886.0,0.0,547.0,5.0,20.0,169.0,38.0,50.0
0.5,0.1,0.7,0.25,1729.0,0.0,469.0,6.0,26.0,144.0,38.0,50.0
0.5,0.1,0.7,0.25,1664.0,0.0,435.0,5.0,20.0,151.0,31.0,50.0
0.5,0.1,0.7,0.25,15.0,0.0,15.0,0.0,0.0,0.0,0.0,17.0
0.5,0.1,0.9,0.25,2333.0,0.0,133.0,6.0,23.0,114.0,29.0,50.0
0.5,0.1,0.9,0.25,2333.0,0.0,334.0,8.0,24.0,159.0,39.0,50.0
0.5,0.1,0.9,0.25,8.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0
0.5,0.1,0.9,0.25,2028.0,0.0,248.0,3.0,14.0,95.0,24.0,50.0
0.5,0.1,0.9,0.25,2274.0,0.0,308.0,7.0,26.0,184.0,47.0,50.0
0.5,0.1,0.9,0.25,1942.0,0.0,314.0,6.0,25.0,156.0,38.0,50.0
0.5,0.1,0.9,0.25,2205.0,0.0,302.0,7.0,24.0,167.0,38.0,50.0
0.5,0.1,0.9,0.25,1620.0,0.0,172.0,4.0,21.0,106.0,29.0,50.0
0.5,0.1,0.9,0.25,2046.0,0.0,272.0,6.0,17.0,89.0,24.0,50.0
0.5,0.1,0.9,0.25,1939.0,0.0,282.0,5.0,23.0,180.0,40.0,50.0
0.5,0.1,0.5,0.3,2060.0,0.0,600.0,7.0,20.0,117.0,31.0,50.0
0.5,0.1,0.5,0.3,2011.0,0.0,641.0,8.0,29.0,201.0,49.0,50.0
0.5,0.1,0.5,0.3,1948.0,0.0,624.0,2.0,13.0,99.0,24.0,50.0
0.5,0.1,0.5,0.3,1720.0,0.0,549.0,5.0,18.0,147.0,37.0,50.0
0.5,0.1,0.5,0.3,1330.0,0.0,461.0,2.0,11.0,68.0,20.0,50.0
0.5,0.1,0.5,0.3,2021.0,0.0,658.0,3.0,11.0,96.0,21.0,50.0
0.5,0.1,0.5,0.3,1901.0,0.0,630.0,4.0,18.0,136.0,37.0,50.0
0.5,0.1,0.5,0.3,2071.0,0.0,649.0,5.0,24.0,128.0,36.0,50.0
0.5,0.1,0.5,0.3,2044.0,0.0,658.0,4.0,17.0,96.0,24.0,50.0
0.5,0.1,0.5,0.3,1620.0,0.0,523.0,5.0,26.0,167.0,36.0,50.0
0.5,0.1,0.7,0.3,2498.0,0.0,474.0,7.0,36.0,233.0,62.0,50.0
0.5,0.1,0.7,0.3,2296.0,0.0,522.0,7.0,26.0,199.0,48.0,50.0
0.5,0.1,0.7,0.3,1953.0,0.0,450.0,4.0,12.0,53.0,14.0,50.0
0.5,0.1,0.7,0.3,2338.0,0.0,533.0,7.0,31.0,171.0,39.0,50.0
