from,to,connPhi,connPsi1,connPsi2
I3,I1L,198.792387643207,1,1
I3,I1R,7.30717173169432,1,1
I3,M2R,-34.8032143330529,-1,-1
I3,M3L,-5.79467876741546,-1,-1
I3,M3R,-4.30386489117973,-1,-1
I3,M4,0.728214731115258,0,0
I3,M5,-5.18299674009438e-06,0,0
I3,MCL,-5.8168804615625,-1,-1
I3,MCR,22.5990078392579,1,1
I3,MI,268.79196622775,1,1
I3,NSML,-1.67653636113391,-0,-0
I3,NSMR,-4.45853491151138,-1,-1
I3,I2L,-15.9094237695863,-1,-1
I3,I2R,-7.12430630887138,-1,-1
I3,I3,-125.191728955855,-1,-1
I3,I4,-5.67688899816403,-1,-1
I3,I5,-2.11249861862052,-0,-0
I3,I6,393.276567242703,1,1
I3,M1,786.01624572013,1,1
I3,M2L,961.348755137981,1,1
I4,I1L,0.0411436693520955,-0,-0
I4,I1R,-5.47092291495937,-1,-1
I4,M2R,218.008839105707,1,1
I4,M3L,-1.77420419580722,0,0
I4,M3R,0.540546499947595,0,0
I4,M4,511.8747682627,1,1
I4,M5,-2.12957958931857e-05,0,0
I4,MCL,-3.18751136877654,0,0
I4,MCR,-3.89236914767298,-0,-0
I4,MI,46.5557867878329,1,1
I4,NSML,4.63784758350994,1,1
I4,NSMR,175.18273688222,1,1
I4,I2L,379.168539715361,1,1
I4,I2R,375.546002519462,1,1
I4,I3,-0.756450310802393,-0,-0
I4,I4,-88.8918646537004,-1,-1
I4,I5,-124.810711804326,-1,-1
I4,I6,-6.21885261232819,-1,-1
I4,M1,37.2368206246238,1,1
I4,M2L,1113.13344019102,1,1
I5,I1L,-9.63085515376042,-1,-1
I5,I1R,104.285672746455,1,1
I5,M2R,338.330220040007,1,1
I5,M3L,-3.28160767661211,-0,-0
I5,M3R,-2.288936682643,-0,-0
I5,M4,17.6300940723186,1,1
I5,M5,6.3867538703348e-06,-0,-0
I5,MCL,0.617486905694022,-0,-0
I5,MCR,-12.2979916131753,-1,-1
I5,MI,-0.0119785830638648,-0,-0
I5,NSML,-33.3870281593372,-1,-1
I5,NSMR,-12.0014334634325,-1,-1
I5,I2L,-23.8527636029739,-1,-1
I5,I2R,-12.6358947224526,-1,-1
I5,I3,-38.2321688628872,-1,-1
I5,I4,99.8375764099319,1,1
I5,I5,-128.810760878569,-1,-1
I5,I6,-6.97367326617677,-1,-1
I5,M1,195.251091299627,1,1
I5,M2L,351.489090715461,1,1
I6,I1L,-39.4691515419872,-1,-1
I6,I1R,-22.3298042803217,-1,-1
I6,M2R,12.1037328498801,1,1
I6,M3L,-4.27866400494349,-1,-1
I6,M3R,-1.30545925767183,-0,-0
I6,M4,510.220428437292,1,1
I6,M5,8.75335797091877e-06,-0,-0
I6,MCL,-4.41264484466501,-1,-1
I6,MCR,-12.6390797307731,-1,-1
I6,MI,-1.28194287807446,-0,-0
I6,NSML,-72.2865515499634,-1,-1
I6,NSMR,-66.6160228876724,-1,-1
I6,I2L,-5.55829033123155,-1,-1
I6,I2R,-32.9389869972383,-1,-1
I6,I3,-20.1704649071053,-1,-1
I6,I4,-15.5574541111582,-1,-1
I6,I5,-28.5042734558101,-1,-1
I6,I6,-178.873203799472,-1,-1
I6,M1,-39.8316343319448,-1,-1
I6,M2L,-3.53597233812752,-1,-1
M1,I1L,-9.85296132803705,-1,-1
M1,I1R,28.166028360336,1,1
M1,M2R,-8.30253800128457,-1,-1
M1,M3L,2.54784130758071,0,0
M1,M3R,2.59456418744412,0,0
M1,M4,17.9592894927496,1,1
M1,M5,-1.20905636126992e-05,0,0
M1,MCL,2.7710759206393,0,0
M1,MCR,35.6722831227135,1,1
M1,MI,447.648401101907,1,1
M1,NSML,-10.9381520435763,-1,-1
M1,NSMR,-14.027069890748,-1,-1
M1,I2L,-7.01959333937157,-1,-1
M1,I2R,11.7079346051978,1,1
M1,I3,72.5512057892684,1,1
M1,I4,-6.56825575999028,-1,-1
M1,I5,-9.99953042257948,-1,-1
M1,I6,-7.82186957214981,-1,-1
M1,M1,-30.9121835556361,-1,-1
M1,M2L,1.90547505804307,0,0
M2L,I1L,-21.8821250803303,-1,-1
M2L,I1R,-9.8929210587703,-1,-1
M2L,M2R,-18.2288380253763,-1,-1
M2L,M3L,1.79358715651233,0,0
M2L,M3R,-2.20049726766956,0,0
M2L,M4,1248.78755121331,1,1
M2L,M5,-1.33436801129788e-05,0,0
M2L,MCL,1.36771280460744,0,0
M2L,MCR,20.3976906254502,1,1
M2L,MI,404.08589700217,1,1
M2L,NSML,-58.5674511988236,-1,-1
M2L,NSMR,-18.9122963453701,-1,-1
M2L,I2L,-6.73317630947713,-1,-1
M2L,I2R,-28.5688477072927,-1,-1
M2L,I3,56.5316340491136,1,1
M2L,I4,286.176403126055,1,1
M2L,I5,-17.0370856896934,-1,-1
M2L,I6,-18.0548148160706,-1,-1
M2L,M1,-8.0275354177702,-1,-1
M2L,M2L,-61.2615824605009,-1,-1
