from,to,connWeight
ADAL,RID,0.084005201751426
ADAL,RIFL,0.274978020805754
ADAL,RIFR,1.64587999879571
ADAL,RIGL,0.0801974211130412
ADAL,RIGR,-2.15719877090621
ADAL,RIH,-0.462068028106728
ADAL,RIML,-1.41414122083447
ADAL,RIMR,-1.83215613721387
ADAL,RIPL,-2.4591211040864
ADAL,AIYL,-3.16770679272948
ADAL,RIPR,-3.45742896561475
ADAL,RIR,-0.703957175533795
ADAL,RIS,-2.3793132078557
ADAL,RIVL,-0.526549513105533
ADAL,RIVR,-0.101602781519707
ADAL,RMDDL,-3.07471348407179
ADAL,RMDDR,-1.9392079823584
ADAL,RMDL,-0.22656509497583
ADAL,RMDR,-2.52273024858655
ADAL,RMDVL,0.181317790668378
ADAL,AIYR,0.426575646881436
ADAL,RMDVR,-1.79473850406151
ADAL,RMED,0.123535162593111
ADAL,RMEL,0.471808556239363
ADAL,RMER,-0.0518223653481765
ADAL,RMEV,-1.64398083992854
ADAL,RMFL,-1.13872005160669
ADAL,RMFR,1.16180074811927
ADAL,RMGL,-1.23049687203977
ADAL,RMGR,-0.672481593503698
ADAL,RMHL,-3.70290666717457
ADAL,ADEL,-0.151390150363397
ADAL,AIZL,-0.720382327056148
ADAL,RMHR,0.0457629601845865
ADAL,SAADL,-0.833583784171999
ADAL,SAADR,-0.963603165042481
ADAL,SAAVL,0.0128669967402546
ADAL,SAAVR,-0.69977900367352
ADAL,SABD,-0.127217910375954
ADAL,SABVL,0.106728990647846
ADAL,SABVR,0.0225538528611058
ADAL,SDQL,-0.507390453072944
ADAL,SDQR,0.190771870717802
ADAL,AIZR,-0.940291353097645
ADAL,SIADL,-0.34140835560571
ADAL,SIADR,-2.37821611142392
ADAL,SIAVL,-3.76124517699498
ADAL,SIAVR,-2.80016983173998
ADAL,SIBDL,0.0356459149641882
ADAL,SIBDR,-1.99075240873414
ADAL,SIBVL,-0.673891248948611
ADAL,SIBVR,-0.712332832262286
ADAL,SMBDL,-0.545153647169841
ADAL,SMBDR,-0.974996385166776
ADAL,ALA,-0.00599451104285719
ADAL,SMBVL,0.127054700469753
ADAL,SMBVR,-1.50490752000579
ADAL,SMDDL,-0.488183347689512
ADAL,SMDDR,-0.891303036200716
ADAL,SMDVL,0.00149939593050052
ADAL,SMDVR,-1.03248566415839
ADAL,URADL,-0.149471081276313
ADAL,URADR,-0.635979814200971
ADAL,URAVL,-0.544968264764032
ADAL,URAVR,-0.70861729994183
ADAL,ALML,-0.0825071648122508
ADAL,URBL,-0.18223546022372
ADAL,URBR,-0.441975509333648
ADAL,URXL,-1.57925337640679
ADAL,URXR,-2.5587696284015
ADAL,URYDL,-0.681454577728466
ADAL,URYDR,0.173367030203651
ADAL,URYVL,-0.0267395391868894
ADAL,URYVR,-0.282608579195113
ADAL,VA01,0.0320377962823722
ADAL,VA02,-0.201382996740605
ADAL,ALMR,-0.15098211675042
ADAL,VA03,-0.0541389516796335
ADAL,VA04,-0.251460797555686
ADAL,VA05,0.194616441526394
ADAL,VA06,-0.39564307589638
ADAL,VA07,0.172329395169587
ADAL,VA08,0.0758143708625934
ADAL,VA09,0.192613003404344
ADAL,VA10,-0.35834633963286
ADAL,VA11,-0.35116336837897
ADAL,VA12,0.279865817927529
ADAL,ALNL,-0.376752513713187
ADAL,VB01,-0.078860999708128
