0.1,0.15,0.2,0.21,0.22,0.23,0.24,0.25,0.255,0.26,0.265,0.27,0.275,0.28,0.285,0.29,0.295,0.3,0.305,0.31,0.315,0.32,0.325,0.33,0.335,0.34,0.345,0.35,0.355,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.525,0.55,0.6,0.7,0.8,0.9
4,4,4,7,4,4,4,4,7,10,8,10,7,10,7,13,4,None,10,4,4,6,4,None,4,10,4,None,7,13,8,None,7,7,7,None,4,None,None,None,13,None,None,7,7,None,None,7,None,None
4,4,4,10,4,4,7,7,5,7,8,4,10,7,7,4,13,None,7,7,10,None,None,4,7,4,5,5,7,13,4,None,None,13,7,None,None,13,None,None,None,None,4,None,7,None,None,None,None,None
4,4,4,7,7,7,7,13,7,10,4,None,4,4,4,None,4,None,7,13,7,7,7,7,None,7,4,7,7,None,4,4,None,7,7,None,7,None,4,None,None,None,None,13,None,7,None,None,None,None
4,7,7,4,4,7,4,4,7,4,7,4,4,13,7,10,4,10,7,4,7,None,4,4,7,5,8,7,7,7,4,None,None,16,4,4,7,None,4,7,None,None,7,None,None,None,10,None,None,None
4,4,10,4,7,7,4,7,None,10,7,None,8,7,7,11,5,8,4,7,4,None,10,None,10,None,8,7,7,None,7,None,7,7,7,None,7,7,None,None,None,None,None,None,4,None,None,None,None,None
4,4,4,10,10,4,4,5,7,7,4,10,4,4,7,7,4,7,4,10,5,4,13,10,None,None,5,4,None,7,None,None,4,10,7,7,13,None,7,None,None,None,4,11,None,None,None,None,None,7
4,4,7,7,10,7,4,4,4,10,4,4,4,19,10,7,4,7,4,4,10,13,10,7,13,10,None,7,5,4,4,10,7,7,4,13,4,11,None,None,None,None,4,None,None,None,None,None,None,None
4,4,5,7,7,8,7,4,7,10,8,7,13,4,13,4,5,8,4,7,7,4,4,4,7,4,4,None,7,7,None,7,7,None,None,None,4,None,7,None,None,7,8,10,None,10,None,None,None,None
4,4,8,4,4,4,7,4,7,7,13,7,4,7,4,10,7,7,7,6,13,4,4,4,4,13,13,7,4,5,7,7,None,None,4,None,None,None,None,None,None,8,7,None,None,7,None,11,None,None
4,4,7,8,7,10,4,7,7,7,4,4,7,4,7,8,4,None,4,4,None,4,4,7,4,4,8,10,None,13,13,7,None,None,4,None,4,None,None,None,None,None,None,None,None,None,None,None,7,None
4,4,4,4,4,7,4,4,7,10,4,4,7,4,10,8,8,16,7,4,7,6,None,None,None,7,10,4,4,None,13,4,None,7,4,4,None,4,7,None,None,7,None,10,None,None,None,None,None,None
4,4,4,4,7,4,7,8,5,13,7,4,7,13,7,10,7,4,4,7,8,7,None,4,None,13,4,13,7,7,4,None,7,7,7,None,None,8,10,None,None,None,None,4,None,None,None,8,None,None
4,4,4,7,4,7,7,7,4,4,7,7,5,7,10,4,None,4,7,4,7,7,4,4,7,7,None,13,None,None,7,7,4,7,None,None,None,None,None,None,8,7,7,None,None,7,None,None,None,None
4,4,7,7,14,7,8,4,4,10,4,4,10,10,10,4,8,None,8,10,4,7,4,10,7,4,None,13,7,7,None,5,None,None,8,7,7,7,None,4,4,None,None,None,7,None,None,None,None,None
4,4,7,7,4,4,4,4,7,13,10,7,4,4,4,5,4,None,7,10,4,10,6,10,None,13,5,7,4,4,13,7,7,4,4,None,8,10,None,7,None,None,10,None,None,None,None,None,None,None
4,4,8,4,10,5,7,5,4,7,4,4,8,7,4,10,4,8,4,4,4,4,10,7,11,4,4,13,7,7,None,7,7,8,13,7,None,None,7,7,13,8,None,6,4,7,None,None,None,None
4,4,10,4,4,4,7,5,4,4,10,4,4,8,16,7,5,8,4,7,4,4,7,5,7,10,7,7,7,None,13,None,None,4,13,7,None,None,None,None,4,None,10,None,None,None,None,None,None,None
7,4,4,4,7,7,4,10,7,4,7,10,None,4,7,4,10,7,7,4,4,4,4,5,4,4,7,10,7,7,None,4,4,None,None,None,7,None,4,11,None,11,None,7,None,None,None,None,None,None
4,4,10,10,4,10,10,5,4,7,4,13,4,4,4,10,5,4,4,7,None,7,8,10,4,None,7,7,13,7,10,10,None,7,10,None,4,10,7,None,8,None,None,None,4,None,None,None,None,None
4,4,7,4,4,10,7,4,7,4,10,10,4,4,4,None,7,13,13,10,7,4,4,16,4,13,10,None,13,5,7,4,4,4,7,7,None,7,8,7,7,7,None,7,None,None,7,None,None,None
4,4,5,7,4,4,10,4,4,7,10,None,4,10,7,7,4,7,4,7,7,13,7,4,4,None,10,4,4,7,7,7,7,7,7,None,None,8,None,None,None,None,None,None,None,8,None,None,None,None
4,4,4,4,7,4,7,10,7,4,4,None,11,8,7,4,10,7,None,4,4,13,4,7,None,None,4,4,10,7,None,4,4,8,13,5,7,11,None,None,8,7,7,4,None,None,None,None,None,None
4,7,4,4,4,5,4,13,4,7,4,4,10,7,7,10,13,4,7,4,7,None,None,7,4,7,13,4,10,7,4,None,10,4,7,None,None,None,7,7,7,None,None,7,None,None,None,None,None,None
4,4,7,10,4,7,4,4,4,7,10,4,7,7,4,7,4,5,7,7,10,None,8,10,7,7,8,10,7,7,7,5,4,7,7,None,7,None,None,10,None,None,None,None,4,None,4,None,None,None
4,4,4,5,7,4,4,4,4,4,7,7,7,4,4,10,7,16,4,13,7,4,13,4,4,13,4,7,13,5,None,13,5,4,7,7,None,7,4,None,None,7,None,7,9,None,None,7,None,None
4,4,7,7,10,10,7,7,7,5,4,4,4,10,4,7,7,10,4,4,4,6,7,7,4,None,5,4,None,4,10,7,7,None,7,None,None,7,None,7,None,None,5,7,None,None,None,None,None,None
4,4,4,4,5,4,5,4,4,4,4,10,10,5,10,4,8,8,10,10,7,10,10,None,4,10,5,7,7,4,7,4,7,7,7,8,None,8,None,None,7,None,7,7,None,None,None,None,None,None
4,4,4,4,4,5,4,4,4,4,7,4,7,8,4,4,4,7,7,4,8,10,4,4,None,10,13,8,None,13,5,4,7,7,7,None,None,8,4,13,None,None,7,None,7,4,4,None,None,None
4,4,4,4,4,None,5,7,7,4,7,7,7,8,7,10,4,7,7,10,4,7,7,7,None,13,4,13,8,4,4,7,4,13,7,5,None,None,None,7,None,None,4,5,7,None,None,None,None,None
4,4,4,4,7,5,4,7,4,4,10,7,7,10,13,4,10,7,7,10,10,None,5,None,None,None,None,4,10,7,4,None,5,None,7,11,7,None,8,5,None,7,4,None,7,11,None,None,None,None
