,Source,Target,Weight,Syn
474,IL1L,RMGL,1,chemical
475,IL1L,URBL,1,chemical
476,IL1L,AVER,5,chemical
477,IL1L,RMDDL,20,chemical
478,IL1L,RMDL,3,chemical
479,IL1L,RMDR,9,chemical
480,IL1L,RMDVL,22,chemical
481,IL1L,RMDVR,5,chemical
482,IL1L,RMER,4,chemical
483,IL1L,URAVL,4,chemical
484,IL1R,OLLR,1,chemical
485,IL1R,URXR,1,chemical
486,IL1R,AVEL,2,chemical
487,IL1R,AVER,5,chemical
488,IL1R,RMDDL,8,chemical
489,IL1R,RMDDR,12,chemical
490,IL1R,RMDL,11,chemical
491,IL1R,RMDR,4,chemical
492,IL1R,RMDVL,8,chemical
493,IL1R,RMDVR,17,chemical
494,IL1R,RMEL,5,chemical
495,IL1R,RMHL,3,chemical
496,IL1VL,IL1L,3,chemical
497,IL1VL,IL1VL,5,chemical
498,IL1VL,OLQVL,2,chemical
499,IL1VL,URYVL,4,chemical
500,IL1VL,RIPL,13,chemical
501,IL1VL,AVL,1,chemical
502,IL1VL,RMDDL,30,chemical
503,IL1VL,RMDVR,3,chemical
504,IL1VL,RMHL,1,chemical
505,IL1VL,URAVL,4,chemical
506,IL1VR,IL1R,4,chemical
507,IL1VR,IL2VR,2,chemical
508,IL1VR,OLQVR,5,chemical
509,IL1VR,OLLR,1,chemical
510,IL1VR,RIPR,16,chemical
511,IL1VR,RMDDR,40,chemical
512,IL1VR,RMDVL,5,chemical
513,IL1VR,URAVR,4,chemical
514,IL2DL,IL1DL,17,chemical
515,IL2DL,IL2DL,2,chemical
516,IL2DL,OLQDL,2,chemical
517,IL2DL,AUAL,2,chemical
518,IL2DL,RIBL,1,chemical
519,IL2DL,RIH,2,chemical
520,IL2DL,RIPL,28,chemical
521,IL2DL,AVBR,2,chemical
522,IL2DL,RMED,2,chemical
523,IL2DL,RMEL,11,chemical
524,IL2DL,RMER,8,chemical
525,IL2DL,RMEV,1,chemical
526,IL2DL,RMHL,1,chemical
527,IL2DL,URADL,8,chemical
528,IL2DR,IL1DR,28,chemical
529,IL2DR,OLQDR,2,chemical
530,IL2DR,CEPDR,2,chemical
531,IL2DR,RICL,1,chemical
532,IL2DR,RICR,2,chemical
533,IL2DR,RIPL,1,chemical
534,IL2DR,RIPR,43,chemical
535,IL2DR,RMED,3,chemical
536,IL2DR,RMEL,12,chemical
537,IL2DR,RMER,11,chemical
538,IL2DR,RMEV,5,chemical
539,IL2DR,URADR,5,chemical
540,IL2L,IL1L,6,chemical
541,IL2L,OLQDL,20,chemical
542,IL2L,OLQVL,19,chemical
543,IL2L,URXL,3,chemical
544,IL2L,ADEL,6,chemical
545,IL2L,RICL,1,chemical
546,IL2L,RIH,25,chemical
547,IL2L,AVEL,2,chemical
548,IL2L,RMDL,5,chemical
549,IL2L,RMDR,3,chemical
550,IL2L,RMER,10,chemical
551,IL2L,RMEV,5,chemical
552,IL2L,URAVL,2,chemical
553,IL2R,IL1R,2,chemical
554,IL2R,OLQDR,10,chemical
555,IL2R,OLQVR,26,chemical
556,IL2R,OLLR,5,chemical
557,IL2R,URXR,1,chemical
558,IL2R,ADER,5,chemical
559,IL2R,RIH,19,chemical
560,IL2R,RMGR,1,chemical
561,IL2R,URBR,3,chemical
562,IL2R,AVER,2,chemical
563,IL2R,RMDL,3,chemical
564,IL2R,RMEL,5,chemical
565,IL2R,RMEV,2,chemical
566,IL2R,URADR,2,chemical
567,IL2R,URAVR,1,chemical
568,IL2VL,IL1VL,27,chemical
569,IL2VL,IL2L,1,chemical
570,IL2VL,OLQVL,6,chemical
571,IL2VL,BAGR,1,chemical
572,IL2VL,RIAL,4,chemical
573,IL2VL,RIH,5,chemical
574,IL2VL,RIPL,36,chemical
575,IL2VL,DVC,1,chemical
576,IL2VL,RMEL,7,chemical
577,IL2VL,RMER,6,chemical
578,IL2VL,RMEV,2,chemical
579,IL2VL,URAVL,7,chemical
580,IL2VR,ADLR,1,chemical
581,IL2VR,IL1VR,29,chemical
582,IL2VR,OLQVR,9,chemical
583,IL2VR,URXR,1,chemical
584,IL2VR,RIAR,2,chemical
585,IL2VR,RIH,5,chemical
586,IL2VR,RIPR,43,chemical
587,IL2VR,AVAL,1,chemical
588,IL2VR,RMED,2,chemical
589,IL2VR,RMEL,8,chemical
590,IL2VR,RMER,17,chemical
591,IL2VR,RMEV,15,chemical
592,IL2VR,URAVR,16,chemical
593,IL2VR,SIADR,1,chemical
594,OLQDL,CEPDL,3,chemical
595,OLQDL,URYDL,3,chemical
596,OLQDL,RICR,6,chemical
597,OLQDL,RIH,3,chemical
598,OLQDL,RMDDL,1,chemical
599,OLQDL,RMDDR,10,chemical
600,OLQDL,RMED,1,chemical
601,OLQDL,RMEL,2,chemical
602,OLQDL,RMHL,1,chemical
603,OLQDL,SIBDL,9,chemical
604,OLQDR,IL1DR,1,chemical
605,OLQDR,RICL,2,chemical
606,OLQDR,RICR,2,chemical
607,OLQDR,RIH,2,chemical
608,OLQDR,RMDDL,11,chemical
609,OLQDR,RMER,1,chemical
610,OLQDR,RMHR,3,chemical
611,OLQDR,SIBDR,6,chemical
612,OLQVL,IL2L,1,chemical
613,OLQVL,RICL,4,chemical
614,OLQVL,AVAL,1,chemical
615,OLQVL,AVDR,1,chemical
616,OLQVL,RMDVR,14,chemical
617,OLQVL,RMHL,2,chemical
618,OLQVL,SIBVL,13,chemical
619,OLQVR,IL1VR,2,chemical
620,OLQVR,RIAR,10,chemical
621,OLQVR,RICR,3,chemical
622,OLQVR,RIH,18,chemical
623,OLQVR,RIPR,18,chemical
624,OLQVR,RMDVL,18,chemical
625,OLQVR,RMER,2,chemical
626,OLQVR,RMHR,1,chemical
627,OLQVR,SIBVR,18,chemical
628,OLLL,IL1VL,3,chemical
629,OLLL,OLLL,4,chemical
630,OLLL,CEPDL,5,chemical
631,OLLL,CEPVL,14,chemical
632,OLLL,URYDL,2,chemical
633,OLLL,URYVL,1,chemical
634,OLLL,RIBL,24,chemical
635,OLLL,AVER,53,chemical
636,OLLL,RMDDL,22,chemical
637,OLLL,RMDL,6,chemical
638,OLLL,RMDVL,3,chemical
639,OLLL,RMEL,5,chemical
640,OLLL,SMDDL,8,chemical
641,OLLL,SMDDR,9,chemical
642,OLLL,SMDVR,10,chemical
643,OLLR,IL1DR,1,chemical
644,OLLR,IL1VR,2,chemical
645,OLLR,IL2R,1,chemical
646,OLLR,OLQDR,1,chemical
647,OLLR,OLLR,4,chemical
648,OLLR,CEPDR,4,chemical
649,OLLR,CEPVR,16,chemical
650,OLLR,URYVL,3,chemical
651,OLLR,ADER,2,chemical
652,OLLR,RIBR,21,chemical
653,OLLR,RIS,2,chemical
654,OLLR,AVEL,39,chemical
655,OLLR,RMDDR,26,chemical
656,OLLR,RMDL,9,chemical
657,OLLR,RMDR,2,chemical
658,OLLR,RMDVR,6,chemical
659,OLLR,RMED,1,chemical
660,OLLR,RMER,3,chemical
661,OLLR,SMDDL,3,chemical
662,OLLR,SMDDR,1,chemical
663,OLLR,SMDVL,11,chemical
664,OLLR,SMDVR,4,chemical
665,CEPDL,AFDL,2,chemical
666,CEPDL,IL1DL,18,chemical
667,CEPDL,IL2DL,1,chemical
668,CEPDL,OLQDL,27,chemical
669,CEPDL,OLLL,8,chemical
670,CEPDL,CEPDR,1,chemical
671,CEPDL,ALML,2,chemical
672,CEPDL,URYDL,7,chemical
673,CEPDL,AINL,2,chemical
674,CEPDL,RIBL,3,chemical
675,CEPDL,RICL,11,chemical
676,CEPDL,RICR,8,chemical
677,CEPDL,RIH,1,chemical
678,CEPDL,RIS,3,chemical
679,CEPDL,RMGL,6,chemical
680,CEPDL,URBL,11,chemical
681,CEPDL,RIPL,8,chemical
682,CEPDL,AVER,13,chemical
683,CEPDL,RMDVL,13,chemical
684,CEPDL,RMHL,1,chemical
685,CEPDL,RMHR,8,chemical
686,CEPDL,URADL,8,chemical
687,CEPDL,SIADR,4,chemical
688,CEPDL,SIBDL,2,chemical
689,CEPDL,SIBVR,2,chemical
690,CEPDL,SMBDR,5,chemical
691,CEPDR,IL1DR,15,chemical
692,CEPDR,IL1R,1,chemical
693,CEPDR,OLQDR,20,chemical
694,CEPDR,OLLR,13,chemical
695,CEPDR,CEPDR,6,chemical
696,CEPDR,BDUR,5,chemical
697,CEPDR,URXR,2,chemical
698,CEPDR,URYDR,3,chemical
699,CEPDR,RICL,13,chemical
700,CEPDR,RICR,19,chemical
701,CEPDR,RIFR,2,chemical
702,CEPDR,RIH,4,chemical
703,CEPDR,RMGR,1,chemical
704,CEPDR,URBR,14,chemical
705,CEPDR,AVEL,9,chemical
706,CEPDR,RMDR,1,chemical
707,CEPDR,RMDVR,3,chemical
708,CEPDR,RMHL,7,chemical
709,CEPDR,RMHR,1,chemical
710,CEPDR,URADR,3,chemical
711,CEPDR,SIBDR,1,chemical
712,CEPDR,SMBDL,1,chemical
713,CEPVL,IL1VL,9,chemical
714,CEPVL,OLQVL,19,chemical
715,CEPVL,OLLL,4,chemical
716,CEPVL,URXL,2,chemical
717,CEPVL,URYVL,5,chemical
718,CEPVL,RIAL,1,chemical
719,CEPVL,RIBL,3,chemical
720,CEPVL,RICL,20,chemical
721,CEPVL,RICR,17,chemical
722,CEPVL,RMGL,2,chemical
723,CEPVL,RIPL,4,chemical
724,CEPVL,PVR,3,chemical
725,CEPVL,AVER,5,chemical
726,CEPVL,RMDDL,7,chemical
727,CEPVL,RMDVR,8,chemical
728,CEPVL,RMHL,10,chemical
729,CEPVL,RMHR,5,chemical
730,CEPVL,URAVL,6,chemical
731,CEPVL,SIAVL,6,chemical
732,CEPVL,SMBVL,1,chemical
733,CEPVL,SMDVR,1,chemical
734,CEPVR,ADLR,3,chemical
735,CEPVR,ASGR,2,chemical
736,CEPVR,IL1VR,8,chemical
737,CEPVR,IL2VR,3,chemical
738,CEPVR,OLQVR,11,chemical
739,CEPVR,OLLR,14,chemical
740,CEPVR,CEPDR,1,chemical
741,CEPVR,URYVR,2,chemical
742,CEPVR,RIAL,1,chemical
743,CEPVR,RIAR,1,chemical
744,CEPVR,RICL,13,chemical
745,CEPVR,RICR,12,chemical
746,CEPVR,RIPR,3,chemical
747,CEPVR,AVEL,13,chemical
748,CEPVR,RMDDR,4,chemical
749,CEPVR,RMHR,15,chemical
750,CEPVR,RIVL,2,chemical
751,CEPVR,URAVR,3,chemical
752,CEPVR,SIAVR,7,chemical
753,CEPVR,SMBVR,2,chemical
754,CEPVR,SMDDR,2,chemical
755,ALML,CEPDL,2,chemical
756,ALML,CEPVL,3,chemical
757,ALML,ALML,1,chemical
758,ALML,BDUL,15,chemical
759,ALML,SDQL,2,chemical
760,ALML,AIML,1,chemical
761,ALML,RICL,2,chemical
762,ALML,RICR,3,chemical
763,ALML,RIFL,2,chemical
764,ALML,RMGL,3,chemical
765,ALML,PVCL,11,chemical
766,ALML,PVCR,4,chemical
767,ALML,AVDR,3,chemical
768,ALML,AVEL,3,chemical
769,ALML,RMDDR,1,chemical
770,ALML,SMBDR,2,chemical
771,ALMR,CEPDR,1,chemical
772,ALMR,CEPVR,3,chemical
773,ALMR,BDUR,14,chemical
774,ALMR,URBR,1,chemical
775,ALMR,PVCR,10,chemical
776,ALMR,RMDDL,1,chemical
777,ALMR,SIADL,1,chemical
778,ALMR,SMDDL,1,chemical
779,AVM,BDUL,3,chemical
780,AVM,BDUR,5,chemical
781,AVM,ADER,4,chemical
782,AVM,AVHL,3,chemical
783,AVM,AVJR,1,chemical
